nodenumber,x-coordinate,y-coordinate,pressure,x-velocity,y-velocity
8962,0.0,-0.01,3.880079352,0.0,0.0
8963,0.0001,-0.01,3.880081541,0.0,0.0
8964,0.0002,-0.01,3.880061352,0.0,0.0
8969,0.0003,-0.01,3.879938338,0.0,0.0
8975,0.0004,-0.01,3.879658046,0.0,0.0
8982,0.0005,-0.01,3.879215918,0.0,0.0
8990,0.0006,-0.01,3.878618323,0.0,0.0
8999,0.0007,-0.01,3.877878077,0.0,0.0
9009,0.0008,-0.01,3.877022199,0.0,0.0
9020,0.0009,-0.01,3.876074206,0.0,0.0
9032,0.001,-0.01,3.875029058,0.0,0.0
9045,0.0011,-0.01,3.873900999,0.0,0.0
9059,0.0012,-0.01,3.872732921,0.0,0.0
9074,0.0013,-0.01,3.871510825,0.0,0.0
9090,0.0014,-0.01,3.870192619,0.0,0.0
9107,0.0015,-0.01,3.86885063,0.0,0.0
9125,0.0016,-0.01,3.867487995,0.0,0.0
9144,0.0017,-0.01,3.866061268,0.0,0.0
9164,0.0018,-0.01,3.864599895,0.0,0.0
9185,0.0019,-0.01,3.863107023,0.0,0.0
9207,0.002,-0.01,3.861586582,0.0,0.0
9230,0.0021,-0.01,3.860042002,0.0,0.0
9254,0.0022,-0.01,3.858478658,0.0,0.0
9279,0.0023,-0.01,3.856902763,0.0,0.0
9305,0.0024,-0.01,3.855321663,0.0,0.0
9332,0.0025,-0.01,3.853743745,0.0,0.0
9360,0.0026,-0.01,3.852178489,0.0,0.0
9389,0.0027,-0.01,3.850636432,0.0,0.0
9419,0.0028,-0.01,3.849129129,0.0,0.0
9450,0.0029,-0.01,3.847669097,0.0,0.0
9482,0.003,-0.01,3.846269715,0.0,0.0
9515,0.0031,-0.01,3.844945097,0.0,0.0
9549,0.0032,-0.01,3.843709902,0.0,0.0
9581,0.0033,-0.01,3.842579251,0.0,0.0
9613,0.0034,-0.01,3.84156888,0.0,0.0
9645,0.0035,-0.01,3.840694297,0.0,0.0
9677,0.0036,-0.01,3.839969035,0.0,0.0
9709,0.0037,-0.01,3.839406569,0.0,0.0
4,0.0038,-0.01,3.839011095,0.0,0.0
1,0.0039,-0.01,3.838797269,0.0,0.0
7,0.004,-0.01,3.838809395,0.0,0.0
12,0.0041,-0.01,3.839048255,0.0,0.0
18,0.0042,-0.01,3.839488675,0.0,0.0
25,0.0043,-0.01,3.840138764,0.0,0.0
