nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1, 3.900000000E-03,-1.000000000E-02, 2.091435015E+00, 0.000000000E+00, 0.000000000E+00
         2, 3.900000000E-03,-9.900000003E-03, 2.091752974E+00,-2.016587674E-03, 9.822074551E-05
         3, 3.800000000E-03,-9.900000004E-03, 2.092792720E+00,-1.883299515E-03, 9.923300692E-05
         4, 3.800000000E-03,-1.000000000E-02, 2.092455467E+00, 0.000000000E+00, 0.000000000E+00
         5, 3.900000002E-03,-9.800000008E-03, 2.092679106E+00,-4.095662996E-03, 2.911365737E-04
         6, 3.800000001E-03,-9.800000013E-03, 2.093773866E+00,-3.849402675E-03, 2.958785774E-04
         7, 4.000000000E-03,-1.000000000E-02, 2.090699690E+00, 0.000000000E+00, 0.000000000E+00
         8, 4.000000001E-03,-9.900000002E-03, 2.090998683E+00,-2.147357493E-03, 9.610648189E-05
         9, 3.900000004E-03,-9.700000017E-03, 2.093603692E+00,-6.221961963E-03, 5.784083047E-04
        10, 3.800000003E-03,-9.700000026E-03, 2.094789459E+00,-5.881912026E-03, 5.915332911E-04
        11, 4.000000001E-03,-9.800000005E-03, 2.091861090E+00,-4.334958406E-03, 2.831656633E-04
        12, 4.100000000E-03,-1.000000000E-02, 2.090269454E+00, 0.000000000E+00, 0.000000000E+00
        13, 4.100000000E-03,-9.900000001E-03, 2.090553848E+00,-2.274228350E-03, 9.301324786E-05
        14, 3.900000008E-03,-9.600000034E-03, 2.093951547E+00,-8.375009135E-03, 9.502644256E-04
        15, 3.800000007E-03,-9.600000052E-03, 2.095270226E+00,-7.958774270E-03, 9.775799373E-04
        16, 4.000000003E-03,-9.700000010E-03, 2.092681608E+00,-6.549179775E-03, 5.590194424E-04
        17, 4.100000001E-03,-9.800000003E-03, 2.091347321E+00,-4.564583633E-03, 2.717202092E-04
        18, 4.200000000E-03,-1.000000000E-02, 2.090196156E+00, 0.000000000E+00, 0.000000000E+00
        19, 4.200000000E-03,-9.900000001E-03, 2.090452783E+00,-2.395279454E-03, 8.863840813E-05
        20, 3.900000017E-03,-9.500000067E-03, 2.093590413E+00,-1.053294103E-02, 1.386043130E-03
        21, 3.800000017E-03,-9.500000105E-03, 2.095089989E+00,-1.005635863E-02, 1.434162859E-03
        22, 4.000000006E-03,-9.600000020E-03, 2.092887812E+00,-8.771665329E-03, 9.127168894E-04
        23, 4.100000002E-03,-9.700000006E-03, 2.092051407E+00,-6.859948631E-03, 5.332754307E-04
        24, 4.200000001E-03,-9.800000001E-03, 2.091160034E+00,-4.781734645E-03, 2.571958266E-04
        25, 4.300000000E-03,-1.000000000E-02, 2.090508222E+00, 0.000000000E+00, 0.000000000E+00
        26, 4.300000000E-03,-9.900000001E-03, 2.090719466E+00,-2.509360939E-03, 8.296193853E-05
        27, 3.900000035E-03,-9.400000131E-03, 2.092301621E+00,-1.267583900E-02, 1.872477496E-03
        28, 3.800000041E-03,-9.400000203E-03, 2.094037628E+00,-1.215218493E-02, 1.948227438E-03
        29, 4.000000012E-03,-9.500000035E-03, 2.092338227E+00,-1.098295578E-02, 1.323131889E-03
        30, 4.100000004E-03,-9.600000011E-03, 2.092108507E+00,-9.144395644E-03, 8.646656169E-04
        31, 4.200000001E-03,-9.700000004E-03, 2.091737896E+00,-7.150507253E-03, 5.010999268E-04
        32, 4.300000000E-03,-9.800000001E-03, 2.091320379E+00,-4.983784977E-03, 2.394805429E-04
        33, 4.400000000E-03,-1.000000000E-02, 2.091186385E+00, 0.000000000E+00, 0.000000000E+00
        34, 4.399999998E-03,-9.900000001E-03, 2.091354420E+00,-2.615091896E-03, 7.620484135E-05
        35, 3.900000068E-03,-9.300000249E-03, 2.089887997E+00,-1.478703881E-02, 2.397425719E-03
        36, 3.800000088E-03,-9.300000357E-03, 2.091921311E+00,-1.422678069E-02, 2.506821908E-03
        37, 4.000000030E-03,-9.400000093E-03, 2.090810461E+00,-1.316636288E-02, 1.777263327E-03
        38, 4.100000008E-03,-9.500000022E-03, 2.091364636E+00,-1.140178214E-02, 1.245305554E-03
        39, 4.200000002E-03,-9.600000005E-03, 2.091638920E+00,-9.489035747E-03, 8.060124506E-04
        40, 4.300000000E-03,-9.700000002E-03, 2.091762945E+00,-7.417285485E-03, 4.621879046E-04
        41, 4.399999997E-03,-9.800000002E-03, 2.091844294E+00,-5.168006432E-03, 2.180381507E-04
        42, 4.500000000E-03,-1.000000000E-02, 2.092236263E+00, 0.000000000E+00, 0.000000000E+00
        43, 4.499999988E-03,-9.900000007E-03, 2.092364632E+00,-2.710326846E-03, 6.816470110E-05
        44, 3.900000148E-03,-9.200000503E-03, 2.086127826E+00,-1.685330620E-02, 2.952849344E-03
        45, 3.800000216E-03,-9.200000870E-03, 2.088522892E+00,-1.626397983E-02, 3.100951918E-03
        46, 4.000000058E-03,-9.300000169E-03, 2.088103030E+00,-1.530856203E-02, 2.264032005E-03
        47, 4.100000018E-03,-9.400000046E-03, 2.089599667E+00,-1.361914110E-02, 1.662774394E-03
        48, 4.200000006E-03,-9.500000013E-03, 2.090699878E+00,-1.178508130E-02, 1.152687573E-03
        49, 4.300000000E-03,-9.600000003E-03, 2.091502063E+00,-9.801413614E-03, 7.371261687E-04
        50, 4.399999996E-03,-9.700000003E-03, 2.092142215E+00,-7.656800171E-03, 4.165502376E-04
        51, 4.499999982E-03,-9.800000008E-03, 2.092739796E+00,-5.331514432E-03, 1.930753247E-04
        52, 4.600000000E-03,-1.000000000E-02, 2.093667770E+00, 0.000000000E+00, 0.000000000E+00
        53, 4.599999944E-03,-9.900000037E-03, 2.093755173E+00,-2.793700222E-03, 5.895337279E-05
        54, 3.900000354E-03,-9.100001052E-03, 2.080803842E+00,-1.886385960E-02, 3.532836191E-03
        55, 3.800000527E-03,-9.100002068E-03, 2.083631729E+00,-1.825038427E-02, 3.723734763E-03
        56, 4.000000126E-03,-9.200000326E-03, 2.083989033E+00,-1.739952243E-02, 2.776385049E-03
        57, 4.100000043E-03,-9.300000094E-03, 2.086605799E+00,-1.578695851E-02, 2.107080061E-03
        58, 4.200000012E-03,-9.400000021E-03, 2.088702520E+00,-1.402990685E-02, 1.529493678E-03
        59, 4.300000001E-03,-9.500000006E-03, 2.090370805E+00,-1.212859073E-02, 1.045776472E-03
        60, 4.399999983E-03,-9.600000004E-03, 2.091717530E+00,-1.007771600E-02, 6.581970902E-04
        61, 4.499999959E-03,-9.700000010E-03, 2.092884723E+00,-7.865683065E-03, 3.645520884E-04
        62, 4.599999900E-03,-9.800000044E-03, 2.094008615E+00,-5.471744700E-03, 1.648299637E-04
        63, 4.700000000E-03,-1.000000000E-02, 2.095473551E+00, 0.000000000E+00, 0.000000000E+00
        64, 4.699999831E-03,-9.900000126E-03, 2.095518554E+00,-2.863670214E-03, 4.861278883E-05
        65, 3.900000799E-03,-9.000002033E-03, 2.073694562E+00,-2.080870102E-02, 4.134005310E-03
        66, 3.800001038E-03,-9.000003546E-03, 2.077032741E+00,-2.017423357E-02, 4.370343635E-03
        67, 3.700000505E-03,-9.100003071E-03, 2.086679084E+00,-1.759450573E-02, 3.881607925E-03
        68, 3.700000201E-03,-9.200001496E-03, 2.091130248E+00,-1.563574724E-02, 3.220353105E-03
        69, 4.000000269E-03,-9.100000614E-03, 2.078243696E+00,-1.943112470E-02, 3.309735299E-03
        70, 4.100000088E-03,-9.200000167E-03, 2.082148850E+00,-1.789866672E-02, 2.572319774E-03
        71, 4.200000029E-03,-9.300000051E-03, 2.085432367E+00,-1.621830602E-02, 1.927188984E-03
        72, 4.300000005E-03,-9.400000009E-03, 2.088148126E+00,-1.439468663E-02, 1.377914225E-03
