nodenumber,x-coordinate,y-coordinate,pressure,x-velocity,y-velocity
25461,0.0,-0.01,5.491920356,0.0,0.0
25458,5e-05,-0.01,5.491939086,0.0,0.0
25464,0.0001,-0.01,5.491984919,0.0,0.0
25469,0.00015,-0.01,5.492039976,0.0,0.0
25475,0.0002,-0.01,5.492086332,0.0,0.0
25482,0.00025,-0.01,5.492104245,0.0,0.0
25490,0.0003,-0.01,5.49208078,0.0,0.0
25499,0.00035,-0.01,5.492014157,0.0,0.0
25509,0.0004,-0.01,5.491903799,0.0,0.0
25520,0.00045,-0.01,5.491747378,0.0,0.0
25532,0.0005,-0.01,5.491545196,0.0,0.0
25545,0.00055,-0.01,5.491298335,0.0,0.0
25559,0.0006,-0.01,5.49100857,0.0,0.0
25574,0.00065,-0.01,5.490677893,0.0,0.0
25590,0.0007,-0.01,5.490308468,0.0,0.0
25607,0.00075,-0.01,5.489902514,0.0,0.0
25625,0.0008,-0.01,5.489462271,0.0,0.0
25644,0.00085,-0.01,5.488989872,0.0,0.0
25664,0.0009,-0.01,5.48848723,0.0,0.0
25685,0.00095,-0.01,5.487956044,0.0,0.0
25707,0.001,-0.01,5.487398087,0.0,0.0
25730,0.00105,-0.01,5.486815005,0.0,0.0
25754,0.0011,-0.01,5.486207818,0.0,0.0
25779,0.00115,-0.01,5.485577193,0.0,0.0
25805,0.0012,-0.01,5.48492509,0.0,0.0
25832,0.00125,-0.01,5.484253427,0.0,0.0
25860,0.0013,-0.01,5.483561519,0.0,0.0
25889,0.00135,-0.01,5.482848083,0.0,0.0
25919,0.0014,-0.01,5.482115303,0.0,0.0
25950,0.00145,-0.01,5.481362532,0.0,0.0
25982,0.0015,-0.01,5.480593767,0.0,0.0
26015,0.00155,-0.01,5.479809607,0.0,0.0
26049,0.0016,-0.01,5.479008937,0.0,0.0
26084,0.00165,-0.01,5.478179205,0.0,0.0
26120,0.0017,-0.01,5.477332922,0.0,0.0
26157,0.00175,-0.01,5.476487693,0.0,0.0
26195,0.0018,-0.01,5.475620888,0.0,0.0
