Re,field,ratio_mean_abs,ratio_l2,alpha_origin,alpha,intercept,R2
100,pressure,0.18269461005741108,0.18323538065038625,0.18299021072131383,0.6255470340698459,-19.4228127611974,0.8804485308124737
100,x-velocity,1.185575197169977,0.9928495051973544,0.9925362617563493,0.9925359829158626,-5.182936851254886e-07,0.9993690208622947
100,y-velocity,1.1258778030304435,1.0014768224357569,1.0009849283127905,1.0009849274074054,1.6381876866297597e-07,0.9990179038452649
110,pressure,0.2020753172183931,0.20263878497846047,0.20239634304771606,0.6411925261717807,-17.411249202470582,0.8763110525142042
110,x-velocity,1.0378087804075506,0.9935617741151442,0.993374079835831,0.993373853333273,-4.2018722969878075e-07,0.9996221668182562
110,y-velocity,1.0954057504614712,1.0014545351469504,1.0011892087228484,1.0011892079486715,1.3067955036411973e-07,0.9994701881438728
120,pressure,0.22305721348834615,0.22365012490207625,0.22340860086786074,0.6590694378017405,-15.66118870946286,0.8752903998099466
120,x-velocity,1.0534827662202793,0.994169156884129,0.9940598099574928,0.9940596171631721,-3.571761015152816e-07,0.9997800078040434
120,y-velocity,1.1396305036370973,1.0003233598582149,1.0001866979007588,1.0001866972714117,1.0004763556835539e-07,0.999726783140724
130,pressure,0.2418476808078709,0.24246537186900377,0.24222550605855692,0.6715870090683544,-14.235941268623543,0.8729295971819268
130,x-velocity,1.0483354451467877,0.9945472364492642,0.9944662094859209,0.994466029158524,-3.338785147393225e-07,0.999837043679177
130,y-velocity,1.2052811357022766,1.0007254396524308,1.0006346924884455,1.0006346918991549,8.965398536848823e-08,0.9998186454926518
140,pressure,0.26404157914444837,0.26469098850056944,0.2644516699338611,0.6890220418354855,-12.894411511634202,0.8753371538187209
140,x-velocity,1.0497047341881012,0.994888284309438,0.9948337331521431,0.9948335539578655,-3.3173923900849873e-07,0.9998903263868002
140,y-velocity,1.0770421278393276,0.9991855752487524,0.999126676538105,0.9991266760467075,7.159046425971766e-08,0.9998821100564239
150,pressure,0.28121026786413694,0.28187877495093594,0.28164148693309926,0.6978124874816654,-11.86815322024634,0.873544454183157
150,x-velocity,1.4511509145247143,0.995107802597272,0.9950456011107291,0.9950454268517704,-3.226802031092521e-07,0.9998749736387962
150,y-velocity,1.0641086825458619,1.0008578314822105,1.0007955349368707,1.0007955343659736,8.080664740106391e-08,0.9998755175947682
160,pressure,0.3060262945342887,0.30673159432938035,0.306495768363405,0.7164491896830967,-10.743392898448725,0.8796870235912224
160,x-velocity,1.0308791612855208,0.9953064234554783,0.9952639951872375,0.9952638040549366,-3.5417946685586293e-07,0.9999147345532218
160,y-velocity,1.1259963462329918,0.9984652263157959,0.9984189621405445,0.9984189616690702,6.433307180474778e-08,0.9999073315819939
170,pressure,0.32309899245102325,0.323822786342767,0.3235895963821094,0.7241889567463032,-9.94397578788052,0.879264535988217
170,x-velocity,1.1185519163404833,0.9955073960104633,0.995451360398695,0.9954511797887332,-3.349053958834258e-07,0.9998874121209439
170,y-velocity,1.0537325980830625,1.0004122566341507,1.0003549048666731,1.0003549042584694,8.113312186646532e-08,0.9998853470413325
180,pressure,0.3490012230408286,0.34976065466789186,0.349531045756262,0.7412091630730191,-9.001511675045549,0.8863335580530578
180,x-velocity,1.0606529168304244,0.9956363088125881,0.9955952585982842,0.9955950558692821,-3.763668325090324e-07,0.9999175312945685
180,y-velocity,1.0466860246853522,0.9982418699288038,0.99819689825183,0.9981968977218091,6.851357187379877e-08,0.9999099002800833
190,pressure,0.3635470431792171,0.36431811918722257,0.36409169183629925,0.7454523145774782,-8.414105718795671,0.8847366923064149
190,x-velocity,1.062801146573588,0.9958912390814681,0.995820291865929,0.995820117852076,-3.232900765034513e-07,0.9998575074032985
190,y-velocity,1.0581310392505117,1.0013634018416604,1.001294561098136,1.0012945603275814,9.797409665227557e-08,0.99986251072955
200,pressure,0.387739387844081,0.38853819355016883,0.3883168866348563,0.7585782018476759,-7.660042898267813,0.8902477061823828
200,x-velocity,1.2446292294011219,0.9960429856115918,0.9959856680478,0.9959854849211494,-3.4064320045009274e-07,0.9998848984677752
200,y-velocity,1.0460943905982967,1.0003773917730534,1.0003189785353965,1.0003189777671833,9.51629557573582e-08,0.999883221035563
