nodenumber,x-coordinate,y-coordinate,pressure,x-velocity,y-velocity
8962,0.0,-0.01,4.480493607,0.0,0.0
8963,0.0001,-0.01,4.480489953,0.0,0.0
8964,0.0002,-0.01,4.480453021,0.0,0.0
8969,0.0003,-0.01,4.480304389,0.0,0.0
8975,0.0004,-0.01,4.479991026,0.0,0.0
8982,0.0005,-0.01,4.479515207,0.0,0.0
8990,0.0006,-0.01,4.478883536,0.0,0.0
8999,0.0007,-0.01,4.478120325,0.0,0.0
9009,0.0008,-0.01,4.477254695,0.0,0.0
9020,0.0009,-0.01,4.476281585,0.0,0.0
9032,0.001,-0.01,4.475231149,0.0,0.0
9045,0.0011,-0.01,4.474142473,0.0,0.0
9059,0.0012,-0.01,4.472985591,0.0,0.0
9074,0.0013,-0.01,4.471751115,0.0,0.0
9090,0.0014,-0.01,4.470507146,0.0,0.0
9107,0.0015,-0.01,4.469237709,0.0,0.0
9125,0.0016,-0.01,4.467912605,0.0,0.0
9144,0.0017,-0.01,4.466565439,0.0,0.0
9164,0.0018,-0.01,4.465194932,0.0,0.0
9185,0.0019,-0.01,4.463804808,0.0,0.0
9207,0.002,-0.01,4.462398077,0.0,0.0
9230,0.0021,-0.01,4.460979467,0.0,0.0
9254,0.0022,-0.01,4.459554222,0.0,0.0
9279,0.0023,-0.01,4.458128526,0.0,0.0
9305,0.0024,-0.01,4.456709414,0.0,0.0
9332,0.0025,-0.01,4.455304841,0.0,0.0
9360,0.0026,-0.01,4.453923653,0.0,0.0
9389,0.0027,-0.01,4.45257556,0.0,0.0
9419,0.0028,-0.01,4.451271076,0.0,0.0
9450,0.0029,-0.01,4.450021432,0.0,0.0
9482,0.003,-0.01,4.448838449,0.0,0.0
9515,0.0031,-0.01,4.447734484,0.0,0.0
9549,0.0032,-0.01,4.446722525,0.0,0.0
9581,0.0033,-0.01,4.445815569,0.0,0.0
9613,0.0034,-0.01,4.44502621,0.0,0.0
9645,0.0035,-0.01,4.444366989,0.0,0.0
9677,0.0036,-0.01,4.443849406,0.0,0.0
9709,0.0037,-0.01,4.443476572,0.0,0.0
4,0.0038,-0.01,4.44325505,0.0,0.0
1,0.0039,-0.01,4.443226724,0.0,0.0
7,0.004,-0.01,4.443406736,0.0,0.0
12,0.0041,-0.01,4.443765882,0.0,0.0
18,0.0042,-0.01,4.444303027,0.0,0.0
25,0.0043,-0.01,4.445029513,0.0,0.0
33,0.0044,-0.01,4.445946556,0.0,0.0
42,0.0045,-0.01,4.447049989,0.0,0.0
52,0.0046,-0.01,4.448331369,0.0,0.0
63,0.0047,-0.01,4.449780038,0.0,0.0
77,0.0048,-0.01,4.451381599,0.0,0.0
91,0.0049,-0.01,4.45311841,0.0,0.0
106,0.005,-0.01,4.454969025,0.0,0.0
122,0.0051,-0.01,4.456910549,0.0,0.0
139,0.0052,-0.01,4.458916384,0.0,0.0
157,0.0053,-0.01,4.460955391,0.0,0.0
176,0.0054,-0.01,4.462996422,0.0,0.0
196,0.0055,-0.01,4.465006691,0.0,0.0
217,0.0056,-0.01,4.466951493,0.0,0.0
239,0.0057,-0.01,4.468795446,0.0,0.0
262,0.0058,-0.01,4.470503151,0.0,0.0
288,0.0059,-0.01,4.472040224,0.0,0.0
314,0.006,-0.01,4.473372805,0.0,0.0
7275,0.0061,-0.01,4.474472425,0.0,0.0
7243,0.0062,-0.01,4.475316572,0.0,0.0
7212,0.0063,-0.01,4.475900088,0.0,0.0
7181,0.0064,-0.01,4.476189527,0.0,0.0
7150,0.0065,-0.01,4.476111661,0.0,0.0
7119,0.0066,-0.01,4.475682718,0.0,0.0
7088,0.0067,-0.01,4.474947115,0.0,0.0
7058,0.0068,-0.01,4.473895044,0.0,0.0
7029,0.0069,-0.01,4.472523171,0.0,0.0
7000,0.007,-0.01,4.470840529,0.0,0.0
6972,0.0071,-0.01,4.468861572,0.0,0.0
6945,0.0072,-0.01,4.466640433,0.0,0.0
6918,0.0073,-0.01,4.464162978,0.0,0.0
6889,0.0074,-0.01,4.461427814,0.0,0.0
6861,0.0075,-0.01,4.458630576,0.0,0.0
6834,0.0076,-0.01,4.455638323,0.0,0.0
6808,0.0077,-0.01,4.45246557,0.0,0.0
6783,0.0078,-0.01,4.4493137,0.0,0.0
6759,0.0079,-0.01,4.446112244,0.0,0.0
6736,0.008,-0.01,4.442906102,0.0,0.0
6714,0.0081,-0.01,4.439744903,0.0,0.0
6693,0.0082,-0.01,4.436662863,0.0,0.0
6673,0.0083,-0.01,4.433689634,0.0,0.0
6654,0.0084,-0.01,4.430850042,0.0,0.0
6636,0.0085,-0.01,4.428172954,0.0,0.0
6619,0.0086,-0.01,4.425680275,0.0,0.0
6603,0.0087,-0.01,4.423390206,0.0,0.0
6588,0.0088,-0.01,4.421321327,0.0,0.0
6574,0.0089,-0.01,4.419489207,0.0,0.0
6561,0.009,-0.01,4.417907385,0.0,0.0
6549,0.0091,-0.01,4.416585935,0.0,0.0
6538,0.0092,-0.01,4.415531959,0.0,0.0
6528,0.0093,-0.01,4.414748428,0.0,0.0
6519,0.0094,-0.01,4.414230243,0.0,0.0
6511,0.0095,-0.01,4.41396379,0.0,0.0
6504,0.0096,-0.01,4.413936547,0.0,0.0
6498,0.0097,-0.01,4.414100983,0.0,0.0
6493,0.0098,-0.01,4.414360905,0.0,0.0
6490,0.0099,-0.01,4.414592771,0.0,0.0
6491,0.01,-0.01,4.414684094,0.0,0.0
240,0.005700029141,-0.009900172364,4.468490906,-0.001391360669,-3.947584142e-05
263,0.005800039412,-0.009900162478,4.470167381,-0.001334200369,-4.458985607e-05
218,0.005600007125,-0.009900150892,4.46667983,-0.00144191553,-3.411701377e-05
289,0.005900044556,-0.00990013077,4.471675395,-0.001270678004,-4.939268639e-05
197,0.005499993954,-0.009900114765,4.464769665,-0.001485333753,-2.856880471e-05
315,0.006000038471,-0.009900080366,4.472982032,-0.001201212951,-5.38377941e-05
177,0.005399987828,-0.00990007351,4.462795414,-0.00152126796,-2.289321456e-05
7274,0.006100028725,-0.009900045921,4.474058657,-0.001125932163,-5.782726373e-05
158,0.005299987917,-0.009900043539,4.46079141,-0.001549346847,-1.715199505e-05
140,0.005199990734,-0.009900022282,4.458790194,-0.001569554809,-1.141915709e-05
7242,0.006200018875,-0.009900021721,4.474878548,-0.001045710487,-6.122192164e-05
9021,0.0008999939131,-0.009900011088,4.476369148,2.7995947e-05,4.90660321e-06
7211,0.006300011427,-0.009900010781,4.475426619,-0.0009610444484,-6.40182054e-05
123,0.005099994254,-0.009900009685,4.456823701,-0.001581951294,-5.779785698e-06
9010,0.0007999956501,-0.009900009467,4.477317334,3.357704206e-05,2.649766425e-06
9000,0.0006999956604,-0.00990000848,4.478168697,3.606102076e-05,2.338552902e-07
9033,0.0009999954527,-0.009900007902,4.475343957,1.910649301e-05,7.165955753e-06
9046,0.001099994799,-0.009900007719,4.47426021,7.06854045e-06,9.518045268e-06
9075,0.001299994471,-0.009900005147,4.471912381,-2.577716915e-05,1.365999534e-05
9060,0.001199996213,-0.009900004874,4.473118396,-7.843040506e-06,1.166683011e-05
8991,0.0005999975856,-0.009900004858,4.478923568,3.531811848e-05,-2.315432454e-06
7180,0.006400006551,-0.009900004598,4.475680196,-0.0008732480779,-6.631478743e-05
107,0.004999997123,-0.009900003338,4.454921066,-0.001586691785,-2.619908938e-07
8983,0.0004999985966,-0.009900002569,4.479544109,3.134368175e-05,-4.520690769e-06
7149,0.006500003906,-0.009900002472,4.475601746,-0.0007830891985,-6.778236154e-05
9091,0.001399996388,-0.009900002145,4.470675048,-4.679608333e-05,1.583439365e-05
9108,0.001499995326,-0.009900001264,4.469411889,-7.035390908e-05,1.792963337e-05
8976,0.0003999992553,-0.009900001139,4.480007288,2.517704105e-05,-5.94789341e-06
92,0.004899998826,-0.009900001044,4.453107594,-0.001584006388,5.095440027e-06
7118,0.006600002112,-0.009900001043,4.475192573,-0.0006910199562,-6.850763391e-05
8970,0.000299999558,-0.009900000705,4.480317152,1.754403572e-05,-6.516487844e-06
8965,0.0001999997107,-0.009900000441,4.480460552,9.865034671e-06,-5.850127976e-06
7087,0.006700001033,-0.009900000408,4.474465896,-0.0005983950618,-6.86883169e-05
78,0.004799999557,-0.009900000333,4.45140753,-0.001574218987,1.020655846e-05
8960,9.999981753e-05,-0.009900000247,4.480493693,3.662781732e-06,-3.65238855e-06
7057,0.006800000471,-0.009900000136,4.473417154,-0.000506027168,-6.807059945e-05
64,0.004699999831,-0.009900000126,4.449841952,-0.001557680817,1.502741988e-05
53,0.004599999944,-0.009900000037,4.448428018,-0.001534798255,1.952849526e-05
7028,0.006900000192,-0.009900000035,4.472050606,-0.0004148683572,-6.673933805e-05
6999,0.007000000075,-0.009900000009,4.47037837,-0.0003258997327,-6.479680852e-05
43,0.004499999988,-0.009900000007,4.447179813,-0.001506009756,2.368271947e-05
9710,0.003699999996,-0.009900000006,4.443801024,-0.001123869478,4.300855689e-05
9678,0.003599999981,-0.009900000004,4.444177437,-0.001064905978,4.375998412e-05
3,0.0038,-0.009900000004,4.443580692,-0.001181530594,4.200864848e-05
2,0.0039,-0.009900000003,4.443537826,-0.001237227043,4.059380349e-05
8,0.004000000001,-0.009900000002,4.443683389,-0.00129077258,3.871018885e-05
6971,0.00710000003,-0.009900000002,4.468416463,-0.0002400249945,-6.22340814e-05
13,0.0041,-0.009900000001,4.444009939,-0.001341616615,3.651010293e-05
19,0.0042,-0.009900000001,4.444520363,-0.001389052201,3.390338289e-05
26,0.0043,-0.009900000001,4.445219937,-0.001432639966,3.087779951e-05
34,0.004399999998,-0.009900000001,4.446107793,-0.001471786203,2.746977822e-05
8961,0.0,-0.0099,4.48049741,0.0,0.0
6944,0.007200000012,-0.0099,4.466202522,-0.0001579715214,-5.891518341e-05
6537,0.0092,-0.0099,4.415638223,0.0001804168888,2.543395328e-05
6527,0.0093,-0.0099,4.414859197,0.0001467414959,2.569490418e-05
6518,0.0094,-0.0099,4.414342416,0.0001133057445,2.497341793e-05
6510,0.0095,-0.0099,4.414075506,8.154056801e-05,2.313168556e-05
6503,0.0096,-0.0099,4.414040302,5.312162389e-05,1.991428513e-05
6497,0.0097,-0.0099,4.414191857,2.962721579e-05,1.525504277e-05
6492,0.0098,-0.0099,4.414449202,1.283483551e-05,9.371692247e-06
6489,0.0099,-0.0099,4.414684105,3.419786325e-06,3.417800439e-06
6488,0.01,-0.0099,4.414775348,0.0,0.0
9646,0.003499999972,-0.009899999999,4.444702421,-0.001005156825,4.417103155e-05
6602,0.0087,-0.009899999999,4.423409682,0.0003159146889,1.363576036e-05
6587,0.0088,-0.009899999999,4.421365058,0.0002960585337,1.710955554e-05
6560,0.009,-0.009899999999,4.417990465,0.0002439198846,2.254294954e-05
6548,0.0091,-0.009899999999,4.416682966,0.0002131530303,2.43460912e-05
6917,0.007300000005,-0.009899999998,4.463747379,-8.00018159e-05,-5.518043357e-05
6618,0.0086,-0.009899999998,4.425671784,0.0003307746579,9.75743646e-06
6573,0.0089,-0.009899999998,4.41955414,0.0002718244531,2.011274934e-05
6888,0.007400000002,-0.009899999997,4.461046903,-7.931248994e-06,-5.110189995e-05
6860,0.007500000001,-0.009899999996,4.458239761,5.792339772e-05,-4.611805024e-05
6672,0.0083,-0.009899999995,4.433581889,0.00034022224,-4.15705455e-06
6653,0.0084,-0.009899999995,4.430776383,0.0003433748612,7.822872573e-07
6635,0.008499999999,-0.009899999995,4.428133479,0.0003400893457,5.46318745e-06
6833,0.007600000002,-0.009899999993,4.455282988,0.0001185986967,-4.131519985e-05
6692,0.008199999999,-0.009899999993,4.436526737,0.0003302620891,-9.286138679e-06
6807,0.007700000001,-0.009899999992,4.452168586,0.0001718504662,-3.669802667e-05
6713,0.008099999999,-0.009899999992,4.439576827,0.0003131188234,-1.449046685e-05
6735,0.008,-0.009899999989,4.44269844,0.000288984508,-1.983330925e-05
6782,0.007800000001,-0.009899999987,4.449053676,0.0002177699189,-3.134730002e-05
6758,0.0079,-0.009899999987,4.445884794,0.0002573245162,-2.55806898e-05
9126,0.001599996546,-0.009899999978,4.468106193,-9.643788607e-05,1.977875984e-05
9614,0.003399999928,-0.009899999952,4.445368271,-0.0009449892723,4.423848418e-05
9582,0.003299999908,-0.00989999985,4.446162457,-0.0008848189966,4.399734523e-05
9550,0.003199999917,-0.009899999785,4.447071928,-0.0008250355673,4.350588567e-05
9516,0.003099999933,-0.009899999739,4.448083917,-0.0007659829653,4.280527015e-05
9451,0.002899999955,-0.009899999642,4.450364908,-0.0006511858945,4.084154255e-05
9145,0.001699998503,-0.009899999635,4.466775412,-0.0001251490322,2.157827149e-05
9483,0.002999999933,-0.009899999632,4.449185783,-0.0007079460546,4.191150231e-05
9420,0.002799999933,-0.009899999492,4.451609103,-0.0005959371517,3.961861042e-05
9165,0.001799999033,-0.009899999478,4.465420201,-0.0001563240883,2.335428083e-05
9390,0.002699999956,-0.009899999475,4.452906668,-0.0005423959774,3.826684965e-05
9333,0.002499999876,-0.00989999944,4.455618295,-0.0004410717484,3.52685034e-05
9361,0.002599999925,-0.009899999398,4.454246519,-0.0004907292225,3.680975713e-05
9186,0.00189999913,-0.009899999254,4.464044478,-0.0001899444244,2.511713043e-05
9280,0.002299999618,-0.009899999151,4.458420238,-0.0003481978168,3.200695314e-05
9231,0.002099999347,-0.009899999147,4.461246358,-0.0002643733973,2.860028797e-05
9306,0.002399999697,-0.009899999112,4.457012441,-0.0003935341964,3.366225606e-05
9208,0.00199999904,-0.009899999085,4.462651643,-0.0002259687324,2.686598365e-05
9255,0.00219999933,-0.009899998881,4.45983386,-0.0003051291185,3.031634693e-05
261,0.005700063987,-0.00980035921,4.467574269,-0.002721096756,-0.0001194986604
287,0.005800088652,-0.009800340007,4.46915589,-0.00261248482,-0.000134551362
238,0.005600032836,-0.009800327364,4.465863903,-0.002817546481,-0.0001036967097
313,0.005900092235,-0.009800269002,4.47057522,-0.002492442138,-0.0001486760583
216,0.005500001065,-0.009800243705,4.464058974,-0.002901283152,-8.732793862e-05
340,0.006000081,-0.009800172942,4.471801358,-0.00236149175,-0.0001616706263
195,0.005399989458,-0.009800166696,4.462194312,-0.002971067311,-7.054024183e-05
7306,0.006100057623,-0.009800091658,4.472806752,-0.002220215653,-0.0001732801457
175,0.005299983247,-0.009800090425,4.460302503,-0.003026703002,-5.353337279e-05
7273,0.006200040286,-0.009800048294,4.473564202,-0.002069659221,-0.0001832232172
156,0.005199985457,-0.00980004413,4.458415532,-0.003067628999,-3.649826786e-05
9018,0.0007999837663,-0.009800023838,4.477504928,3.414310456e-05,1.042280586e-05
9030,0.0008999845645,-0.009800022315,4.476606516,1.962560191e-05,1.752111028e-05
7241,0.006300021503,-0.009800020852,4.474050104,-0.001911419333,-0.0001912104064
9043,0.0009999849974,-0.009800019085,4.475630804,-9.152557113e-07,2.445126603e-05
138,0.00509999058,-0.009800018296,4.456565002,-0.003094005778,-1.962866336e-05
9057,0.001099985428,-0.009800017525,4.474582464,-2.744317714e-05,3.131371023e-05
9007,0.0006999905763,-0.00980001618,4.47830954,4.288672983e-05,3.227033364e-06
9072,0.001199985676,-0.00980001216,4.473483602,-5.982865203e-05,3.793308501e-05
8997,0.0005999946548,-0.009800010021,4.479026134,4.581810267e-05,-3.681513719e-06
7210,0.00640001292,-0.009800009818,4.474248351,-0.001747005417,-0.0001972590475
9088,0.001299985569,-0.009800009491,4.47233907,-9.774064933e-05,4.433427544e-05
9105,0.001399981546,-0.009800008034,4.471149123,-0.0001410691433,5.070688759e-05
121,0.004999994261,-0.00980000758,4.454777399,-0.003106086406,-3.092350424e-06
8988,0.000499997016,-0.009800005257,4.479615448,4.302746138e-05,-9.748889995e-06
7179,0.006500005334,-0.009800003563,4.474147878,-0.001578076229,-0.0002018623984
8980,0.0003999979058,-0.009800003031,4.48005323,3.606359671e-05,-1.428469079e-05
105,0.004899997287,-0.009800002679,4.453076566,-0.003104314643,1.293040386e-05
9123,0.001499989256,-0.009800002016,4.469925209,-0.0001895911505,5.677329583e-05
7148,0.006600003082,-0.009800001755,4.473739114,-0.001406097532,-0.000204697242
8973,0.0002999988907,-0.009800001598,4.480355075,2.614571386e-05,-1.64934991e-05
90,0.004799998529,-0.0098000011,4.451487254,-0.003089169173,2.828191992e-05
8968,0.0001999991894,-0.009800001006,4.4804935,1.534754269e-05,-1.529213118e-05
8966,9.999953708e-05,-0.009800000525,4.480527795,5.895318241e-06,-9.8654623e-06
